drug_id,ae,ae_theme,faers_count,log_faers,path_count,max_path_score,mean_path_score,go_overlap_ratio,n_proteins,theme_specificity,has_direct_maps_to,label,label_threshold,kg_score,novel_flag
drug:CHEMBL4582651,Lymphopenia,Haematological,5.0,1.791759469228055,63,0.18,0.14706988928137846,1.0,3,0.0625,1,0,11.0,0.5542028412521322,True
drug:CHEMBL4582651,Full Blood Count Abnormal,Haematological,4.0,1.6094379124341003,63,0.18,0.14706988928137846,1.0,3,0.0625,1,0,11.0,0.5542028412521322,True
drug:CHEMBL4582651,Platelet Count Increased,Haematological,6.0,1.9459101490553132,63,0.18,0.14706988928137846,1.0,3,0.0625,1,0,11.0,0.5542028412521322,True
drug:CHEMBL4582651,Blood Test Abnormal,Haematological,6.0,1.9459101490553132,63,0.18,0.14706988928137846,1.0,3,0.0625,1,0,11.0,0.5542028412521322,True
drug:CHEMBL4582651,Thrombocytopenia,Haematological,6.0,1.9459101490553132,63,0.18,0.14706988928137846,1.0,3,0.0625,1,0,11.0,0.5542028412521322,True
drug:CHEMBL4582651,Myelosuppression,Haematological,5.0,1.791759469228055,63,0.18,0.14706988928137846,1.0,3,0.0625,1,0,11.0,0.5542028412521322,True
drug:CHEMBL4582651,Febrile Neutropenia,Haematological,4.0,1.6094379124341003,63,0.18,0.14706988928137846,1.0,3,0.0625,1,0,11.0,0.5542028412521322,True
drug:CHEMBL4582651,Leukopenia,Haematological,4.0,1.6094379124341003,63,0.18,0.14706988928137846,1.0,3,0.0625,1,0,11.0,0.5542028412521322,True
drug:CHEMBL4582651,Pancytopenia,Haematological,4.0,1.6094379124341003,63,0.18,0.14706988928137846,1.0,3,0.0625,1,0,11.0,0.5542028412521322,True
drug:CHEMBL4582651,Neutrophil Count Decreased,Haematological,9.0,2.302585092994046,63,0.18,0.14706988928137846,1.0,3,0.0625,1,0,11.0,0.5542028412521322,True
drug:CHEMBL4582651,Sinusitis,Immune/Infection,3.0,1.3862943611198906,30,0.18,0.11504320953296117,1.0,3,0.0625,1,0,11.0,0.4747969072574268,True
drug:CHEMBL4582651,Cellulitis,Immune/Infection,4.0,1.6094379124341003,30,0.18,0.11504320953296117,1.0,3,0.0625,1,0,11.0,0.4747969072574268,True
drug:CHEMBL4582651,Influenza,Immune/Infection,3.0,1.3862943611198906,30,0.18,0.11504320953296117,1.0,3,0.0625,1,0,11.0,0.4747969072574268,True
drug:CHEMBL4582651,Pneumonia Viral,Immune/Infection,3.0,1.3862943611198906,30,0.18,0.11504320953296117,1.0,3,0.0625,1,0,11.0,0.4747969072574268,True
drug:CHEMBL4582651,Nasopharyngitis,Immune/Infection,6.0,1.9459101490553132,30,0.18,0.11504320953296117,1.0,3,0.0625,1,0,11.0,0.4747969072574268,True
